OBJETID;COD_NDP;DECRETO_LU;DISTRITO;DIRECCION;PLANTA;UNIDADES_VUT;EXPEDIENTE_LU;TIPO;RESOLUCION_LU
1;11009378;Conceder;Distrito de Arganzuela;CALLE  BRONCE  9;BAJA 1UD- PRIMERA 1UD;2; 220/2022/00147;VIVIENDAS DE USO TURÍSTICO;19/08/2022
2;11039707;Conceder;Distrito de Chamberí;CALLE BLASCO DE GARAY  16;BAJA;1;350/2020/00281;VIVIENDAS DE USO TURÍSTICO;01/04/2022
3;11006219;Conceder;Distrito de Centro;CALLE SAN HERMENEGILDO  4;BAJA;1;350/2021/04272;VIVIENDAS DE USO TURÍSTICO;18/08/2022
4;11007086;Conceder;Distrito de Centro;CALLE  LUNA  5;BAJA;2;350/2021/04353;VIVIENDAS DE USO TURÍSTICO;03/05/2023
5;11029032;Conceder;Distrito de Tetuan;CALLE TENERIFE 4;BAJA;1;350/2021/05022;VIVIENDAS DE USO TURÍSTICO;26/05/2022
6;11017096;Conceder;Distrito de Salamanca;GLORIETA CAMPANAR   1;BAJA;1;350/2021/05040;VIVIENDAS DE USO TURÍSTICO;18/03/2022
7;11030259;Conceder;Distrito de Tetuan;CALLE SAN GERMAN 49;PRIMERA;1;350/2022/00038;VIVIENDAS DE USO TURÍSTICO;04/03/2022
8;11013576;Conceder;Distrito de Retiro;CALLE DOCE DE OCTUBRE 34;BAJA;1;350/2022/00042;VIVIENDAS DE USO TURÍSTICO;04/07/2022
9;11012256;Conceder;Distrito de Retiro;CALLE ANTONIO ARIAS 12;BAJA 1 UD - SEMISOTANO 2 UD;3;350/2022/00052;VIVIENDAS DE USO TURÍSTICO;18/08/2022
10;11011921;Conceder;Distrito de Retiro;CALLE SIRIO 46;BAJA;1;350/2022/00107;VIVIENDAS DE USO TURÍSTICO;22/04/2022
11;11002182;Conceder;Distrito de Centro;CALLE  RODAS 3;BAJA;1;350/2022/00307;VIVIENDAS DE USO TURÍSTICO;12/04/2022
12;11002479;Conceder;Distrito de Centro;CALLE MINISTRILES 10;BAJA;1;350/2022/01247;VIVIENDAS DE USO TURÍSTICO;12/01/2024
13;11104439;Conceder;Distrito de Ciudad Lineal;CALLE RICARDO ORTIZ 18;SOTANO;1;350/2022/01538;VIVIENDAS DE USO TURÍSTICO;26/05/2022
14;11104439;Conceder;Distrito de Ciudad Lineal;CALLE RICARDO ORTIZ 18;BAJA;1;350/2022/01542;VIVIENDAS DE USO TURÍSTICO;12/06/2023
15;11069564;Conceder;Distrito de Carabanchel;PASEO SANTA MARIA DE LA CABEZA 124;PRIMERA;1;350/2022/03028;VIVIENDAS DE USO TURÍSTICO;28/06/2022
16;11084110;Conceder;Distrito de Usera;PASEO SANTA MARIA DE LA CABEZA 97;BAJA;1;350/2022/03030;VIVIENDAS DE USO TURÍSTICO;18/08/2022
17;31006525;Conceder;Distrito de Usera;CALLE ALERCE 29;BAJA;1;350/2022/03032;VIVIENDAS DE USO TURÍSTICO;27/06/2022
18;11117240;Conceder;Distrito de Hortaleza;CALLE TRIBALDOS 60;BAJA;1;350/2022/03200;VIVIENDAS DE USO TURÍSTICO;18/08/2022
19;31015438;Conceder;Distrito de Latina;PASEO JESUITAS 43;PRIMERA;1;350/2022/03296;VIVIENDAS DE USO TURÍSTICO;18/07/2022
20;11024046;Conceder;Distrito de Chamartín;CALLE FERNANDEZ DE OVIEDO 5;SEMISOTANO;1;350/2022/03545;VIVIENDAS DE USO TURÍSTICO;12/05/2023
21;11001826;Conceder;Distrito de Centro;CALLE FRAY CEFERINO GONZALEZ 16;BAJA;2;350/2022/03674;VIVIENDAS DE USO TURÍSTICO;27/10/2023
22;11007336;Conceder;Distrito de Centro;CALLE ABADA 4;BAJA;1;350/2022/03689;VIVIENDAS DE USO TURÍSTICO;07/10/2022
23;11007336;Conceder;Distrito de Centro;CALLE ABADA 4;BAJA;1;350/2022/03690;VIVIENDAS DE USO TURÍSTICO;10/11/2022
24;11005433;Conceder;Distrito de Centro;CALLE DIVINO PASTOR 30;BAJA;1;350/2022/03760;VIVIENDAS DE USO TURÍSTICO;18/07/2023
25;11038238;Conceder;Distrito de Tetuan;PASEO DIRECCION 8;BAJA;3;350/2022/03902;VIVIENDAS DE USO TURÍSTICO;28/09/2022
26;11003364;Conceder;Distrito de Centro;CALLE  GOBERNADOR  25;BAJA;1;350/2022/03929;VIVIENDAS DE USO TURÍSTICO;28/10/2022
27;11001591;Conceder;Distrito de Centro;CALLE RELATORES 8;BAJA;1;350/2022/03934;VIVIENDAS DE USO TURÍSTICO;28/10/2022
28;11029844;Conceder;Distrito de Tetuan;CALLE TERUEL 15;BAJA;1;350/2022/04654;VIVIENDAS DE USO TURÍSTICO;08/06/2023
29;11008264;Conceder;Distrito de Arganzuela;PASEO PONTONES 15;BAJA;1;350/2022/06390;VIVIENDAS DE USO TURÍSTICO;20/12/2022
30;11077950;Conceder;Distrito de Carabanchel;CALLE JOAQUIN TURINA 41;BAJA;1;350/2022/06757;VIVIENDAS DE USO TURÍSTICO;07/11/2022
31;11010335;Conceder;Distrito de Arganzuela;CALLE MURCIA 24;BAJA;1;350/2022/07652;VIVIENDAS DE USO TURÍSTICO;11/04/2023
32;11010775;Conceder;Distrito de Retiro;CALLE NARCISO SERRA 9;BAJA;1;350/2022/08143;VIVIENDAS DE USO TURÍSTICO;03/05/2023
33;11018912;Conceder;Distrito de Salamanca;CALLE GENERAL ORAA 67;BAJA 4 UD - ENTREPLANTA 2 UD - PRIMERA 4 UD;10;350/2022/08506;VIVIENDAS DE USO TURÍSTICO;02/12/2022
34;31023975;Conceder;Distrito de Centro;CALLE SANTA AGUEDA 1;BAJA;2;350/2022/08849;VIVIENDAS DE USO TURÍSTICO;11/11/2022
35;11039829;Conceder;Distrito de Chamberí;CALLE RUIZ 28;BAJA;1;350/2022/09286;VIVIENDAS DE USO TURÍSTICO;10/11/2022
36;11001320;Conceder;Distrito de Centro;CALLE ARGANZUELA 15;BAJA;1;350/2022/09462;;10/11/2022
37;11028703;Conceder;Distrito de Tetuan;CALLE FERNANDO OSSORIO 9;PRIMERA;1;350/2022/10135;VIVIENDAS DE USO TURÍSTICO;11/11/2022
38;11006005;Conceder;Distrito de Centro;CALLE SAN VICENTE FERRER 47;BAJA;1;350/2022/10218;VIVIENDAS DE USO TURÍSTICO;17/02/2023
39;11017123;Conceder;Distrito de Salamanca;CALLE FRANCISCO NAVACERRADA 26;BAJA;1;350/2022/10394;VIVIENDAS DE USO TURÍSTICO;18/11/2022
40;11086829;Conceder;Distrito de Usera;CALLE FELIPE CASTRO 5;BAJA;2;350/2022/10446;VIVIENDAS DE USO TURÍSTICO;10/01/2023
41;11101762;Conceder;Distrito de Moratalaz;CALLE ENTRE ARROYOS 29;BAJA;1;350/2022/10485;VIVIENDAS DE USO TURÍSTICO;10/01/2023
42;11140684;Conceder;Distrito de Barajas;CALLE ZODIACO 3;BAJA;1;350/2022/10496;VIVIENDAS DE USO TURÍSTICO;22/02/2023
43;11004833;Conceder;Distrito de Centro;CALLE SAN GREGORIO 7;BAJA;1;350/2022/11314;VIVIENDAS DE USO TURÍSTICO;28/11/2022
44;11022779;Conceder;Distrito de Chamartín;CALLE CLARA DEL REY 33;BAJA;3;350/2022/11653;VIVIENDAS DE USO TURÍSTICO;28/11/2022
45;11115381;Conceder;Distrito de Hortaleza;CALLE PUERTO REAL 2;BAJA;1;350/2022/12373;VIVIENDAS DE USO TURÍSTICO;09/05/2023
46;11084041;Conceder;Distrito de Usera;CALLE ANTONIO LOPEZ 140;BAJA;1;350/2022/12967;VIVIENDAS DE USO TURÍSTICO;13/12/2022
47;11071782;Conceder;Distrito de Carabanchel;CALLE CARLOS DABAN 22;BAJA;1;350/2022/13493;VIVIENDAS DE USO TURÍSTICO;02/06/2023
48;11000578;Conceder;Distrito de Centro;PLAZA CRUZ VERDE 1;2 BAJA Y SOTANO;2;350/2022/14094;VIVIENDAS DE USO TURÍSTICO;24/02/2023
49;11052082;Conceder;Distrito de Moncloa-Aravaca;AVENIDA VALLADOLID 35;BAJA;1;350/2022/14663;VIVIENDAS DE USO TURÍSTICO;29/12/2022
50;11013068;Conceder;Distrito de Retiro;CALLE ANDRES TORREJON 24;BAJA;1;350/2022/14764;VIVIENDAS DE USO TURÍSTICO;23/05/2023
51;11008023;Conceder;Distrito de Arganzuela;PASEO VIRGEN DEL PUERTO 11;BAJA;1;350/2022/14892;VIVIENDAS DE USO TURÍSTICO;10/01/2023
52;11004528;Conceder;Distrito de Centro;CALLE SAN BARTOLOME 19;BAJA;1;350/2022/15298;;03/05/2023
53;20044114;Conceder;Distrito de Barajas;CALLE ALGEMESI 31;BAJA;1;350/2022/15739;VIVIENDAS DE USO TURÍSTICO;02/06/2023
54;31069902;Conceder;Distrito de Hortaleza;CALLE TUNAIMA 24;BAJA;1;350/2022/16068;VIVIENDAS DE USO TURÍSTICO;21/06/2023
55;11022370;Conceder;Distrito de Chamartín;CALLE CANILLAS 96;BAJA;1;350/2022/16074;VIVIENDAS DE USO TURÍSTICO;10/01/2023
56;11071537;Conceder;Distrito de Carabanchel;PASEO SAN ILLAN 59;PRIMERA;1;350/2022/16252;VIVIENDAS DE USO TURÍSTICO;12/09/2023
57;11008023;Conceder;Distrito de Arganzuela;PASEO VIRGEN DEL PUERTO 11;BAJA;1;350/2022/16293;VIVIENDAS DE USO TURÍSTICO;10/01/2023
58;11032333;Conceder;Distrito de Tetuan;CALLE MATILDE LANDA 28;BAJA;1;350/2022/16603;VIVIENDAS DE USO TURÍSTICO;27/01/2023
59;11001391;Conceder;Distrito de Centro;CALLE MIRA EL RIO ALTA 5;BAJA;1;350/2022/16865;;10/01/2023
60;20050360;Conceder;Distrito de Latina;CALLE SANGUIÑO 2;BAJA;3;350/2022/16994;VIVIENDAS DE USO TURÍSTICO;16/03/2023
61;11008022;Conceder;Distrito de Arganzuela;PASEO VIRGEN DEL PUERTO 9;BAJA;1;350/2022/17065;VIVIENDAS DE USO TURÍSTICO;10/01/2023
62;11008022;Conceder;Distrito de Arganzuela;PASEO VIRGEN DEL PUERTO 9;BAJA;1;350/2022/17066;VIVIENDAS DE USO TURÍSTICO;20/01/2023
63;11000419;Conceder;Distrito de Centro;CALLE ESCALINATA 4;BAJA;1;350/2022/17110;VIVIENDAS DE USO TURÍSTICO;16/11/2023
